time,visible_satellites,best_satellite,best_alt,best_az,best_distance
2025-05-16 19:49:00+00:00,42,STARLINK-4673,64.34840087499961,69.34681786268142,594.1241391698912
2025-05-16 19:50:00+00:00,41,STARLINK-31234,63.94847834599898,331.51611302913113,533.1337056982545
2025-05-16 19:51:00+00:00,42,STARLINK-32668,83.61636845764181,309.2093149799899,486.85362647179954
2025-05-16 19:52:00+00:00,35,STARLINK-6251,66.29844279343968,178.55474433304425,605.9271633124337
2025-05-16 19:53:00+00:00,36,STARLINK-3700,70.133450995083,44.53250975506419,579.6169545082715
2025-05-16 19:54:00+00:00,38,STARLINK-32655,61.421683402646686,83.13738323158034,544.9789381133437
2025-05-16 19:55:00+00:00,35,STARLINK-2069,76.69827781292327,130.1911638346185,456.28290095033753
2025-05-16 19:56:00+00:00,37,STARLINK-1807,74.76677070310849,196.80473043930456,565.980410112002
2025-05-16 19:57:00+00:00,38,STARLINK-6232,70.09788936470292,197.9805342869374,591.3374340140405
2025-05-16 19:58:00+00:00,35,STARLINK-4126,79.25144168501006,124.05161722162933,549.2404831000722
2025-05-16 19:59:00+00:00,39,STARLINK-30311,79.16472516008119,149.25066516191725,568.7626221416903
2025-05-16 20:00:00+00:00,44,STARLINK-4716,83.56152341015198,126.9904055148655,543.331314477308
2025-05-16 20:01:00+00:00,50,STARLINK-4672,78.46126200241531,317.6656971742612,550.6906722687909
2025-05-16 20:02:00+00:00,50,STARLINK-31581,67.67544529490497,318.0466205002504,520.8563819785828
2025-05-16 20:03:00+00:00,50,STARLINK-32690,80.96258116587691,321.57172058814444,453.2048096113657
2025-05-16 20:04:00+00:00,39,STARLINK-6253,86.70187310008349,228.8174795496718,560.1925156085302
2025-05-16 20:05:00+00:00,35,STARLINK-32663,79.91257878175288,308.36955129492037,490.3321184135303
2025-05-16 20:06:00+00:00,41,STARLINK-1199,70.25197616024249,170.35489677215398,578.8445471308303
2025-05-16 20:07:00+00:00,42,STARLINK-6257,71.18237330605898,247.8502525803094,588.1862256102523
2025-05-16 20:08:00+00:00,44,STARLINK-1184,83.64735347863684,353.79984024672723,550.9760644366157
2025-05-16 20:09:00+00:00,44,STARLINK-30330,82.97901105448499,285.4413036166069,563.2035308032313
2025-05-16 20:10:00+00:00,43,STARLINK-5424,67.3171976941845,262.06062060043,581.550000015501
2025-05-16 20:11:00+00:00,42,STARLINK-4689,68.62462737621786,218.79675294237123,576.6407242311359
2025-05-16 20:12:00+00:00,44,STARLINK-3245,72.13619193818901,31.84740281682048,565.4582464638665
2025-05-16 20:13:00+00:00,43,STARLINK-11666 [DTC],81.72352530424656,159.6545570236183,340.3621322246994
2025-05-16 20:14:00+00:00,44,STARLINK-5757,78.17699343508536,20.35577537729217,570.8591256305845
2025-05-16 20:15:00+00:00,42,STARLINK-32671,72.03103301597142,213.09313902941884,506.863380108475
2025-05-16 20:16:00+00:00,37,STARLINK-30140,73.61150647789005,76.31207375665937,581.4344355869724
2025-05-16 20:17:00+00:00,35,STARLINK-31569,71.31048937330036,314.23379938513506,508.6576536417664
2025-05-16 20:18:00+00:00,36,STARLINK-3291,72.60195623821966,123.66414863667842,563.9267198698284
2025-05-16 20:19:00+00:00,40,STARLINK-3305,86.52292853434801,348.97475767726246,541.1916397939963
2025-05-16 20:20:00+00:00,42,STARLINK-5895,74.99447578144738,134.19494856114858,594.1058897943968
2025-05-16 20:21:00+00:00,45,STARLINK-30165,79.8967412748184,98.74059848524033,567.753934867471
2025-05-16 20:22:00+00:00,39,STARLINK-5748,69.85284952455855,302.7015337341411,593.0414789792976
2025-05-16 20:23:00+00:00,36,STARLINK-4683,77.42548558851364,263.62903788938434,552.5841287722338
2025-05-16 20:24:00+00:00,38,STARLINK-5366,81.03314627154751,268.5238845608706,565.9331984997294
2025-05-16 20:25:00+00:00,34,STARLINK-32563,80.83619239850711,314.01929602307166,372.5762620015351
2025-05-16 20:26:00+00:00,36,STARLINK-2399,82.59548905817232,56.91158828677164,551.9189954128906
2025-05-16 20:27:00+00:00,33,STARLINK-5448,78.499115542534,356.86447401202634,550.6956411165824
2025-05-16 20:28:00+00:00,35,STARLINK-3672,78.54264143559712,199.1496333357558,557.8348052090031
2025-05-16 20:29:00+00:00,38,STARLINK-3277,64.69444909288002,192.10341527593545,592.4480491107902
2025-05-16 20:30:00+00:00,39,STARLINK-30267,70.20799740068637,6.281841503409708,503.3692971631624
2025-05-16 20:31:00+00:00,36,STARLINK-30503,75.85745679398318,192.45472177214197,575.4763847072475
2025-05-16 20:32:00+00:00,39,STARLINK-2424,67.00731483079848,152.29145179050187,590.6037263970164
2025-05-16 20:33:00+00:00,43,STARLINK-30298,67.65511694553666,338.9179907189481,511.7797915270638
2025-05-16 20:34:00+00:00,42,STARLINK-3671,75.7445598642309,5.222205009696179,563.8613260874292
2025-05-16 20:35:00+00:00,37,STARLINK-30296,87.2025463187733,54.227575904024754,476.36386972159266
2025-05-16 20:36:00+00:00,33,STARLINK-2408,67.47100382539595,177.24604384468995,588.8380942704938
2025-05-16 20:37:00+00:00,34,STARLINK-31762,74.49616434353977,13.67941322722997,501.1596616951993
2025-05-16 20:38:00+00:00,39,STARLINK-11453 [DTC],78.69760369611237,58.45683029918549,363.7798153241144
2025-05-16 20:39:00+00:00,37,STARLINK-4046,81.67079992949083,169.58507114211594,545.6931772148367
2025-05-16 20:40:00+00:00,34,STARLINK-30295,73.74307479863546,172.14483825398085,494.14701617514976
2025-05-16 20:41:00+00:00,42,STARLINK-4705,83.68056955594503,206.57449714137275,543.5225652784573
2025-05-16 20:42:00+00:00,30,STARLINK-32544,75.10892473377918,342.5590888800374,496.5938047795383
